Plant name,Leaf shape,Margin,Surface texture,Leaf arrangement,Apex,Base,Leaf type,Venation,Petiole,Cross-section,Internal tissue,Orientation,Aroma,Color,Thickness,Size category
Ambrette,Heart-shaped,Serrated,Hairy,Alternate,Acute,Cordate,Simple,Reticulate,Present,Flattened,Spongy,Erect,Musky,Green,Medium,Large
Ambrette,Orbicular,Serrated,Velvety,Basal,Acute,Truncate,Simple,Net-veined,Present,Flat,Spongy,Erect,Fragrant,Yellowish green,Medium,Large
Ambrette,Cordate,Wavy,Pubescent,Alternate,Blunt,Cordate,Simple,Reticulate,Present,Flattened,Spongy,Ascending,Fragrant,Yellowish green,Medium,Large
Ambrette,Cordate,Sinuate,Hairy,Alternate,Blunt,Cordate,Simple,Reticulate,Present,Flat,Spongy,Spreading,Aromatic,Yellowish green,Medium,Large
Ambrette,Heart-shaped,Crenate,Hairy,Alternate,Acute,Cordate,Simple,Net-veined,Present,Concave,Cellular,Erect,Aromatic,Yellowish green,Medium,Medium
Ambrette,Reniform,Serrated,Hairy,Alternate,Acuminate,Oblique,Simple,Reticulate,Long,Concave,Porous,Upright,Musky,Moss green,Thin,Large
Ambrette,Orbicular,Wavy,Hairy,Basal,Acute,Cordate,Simple,Net-veined,Long,Convex,Fibrous,Spreading,Aromatic,Green,Medium,Medium
Ambrette,Cordate,Crenate,Pubescent,Alternate,Acute,Cordate,Simple,Reticulate,Present,Convex,Fibrous,Erect,Mild,Light green,Medium,Large
Amla,Linear,Entire,Glossy,Alternate,Sharp,Uneven,Compound,Reticulate,Present,Convex,Stiff,Upright,Neutral,Green,Thin,Small
Amla,Oblong,Entire,Waxy,Opposite,Acute,Uneven,Compound,Reticulate,Present,Flat,Woody,Upright,Neutral,Greenish yellow,Medium,Small
Amla,Linear,Entire,Glossy,Alternate,Pointed,Uneven,Compound,Pinnate,,Convex,Fibrous,Erect,Neutral,Bright green,Medium,Small
Amla,Oblong,Entire,Waxy,Opposite,Acute,Oblique,Compound,Pinnate,Present,Flattened,Fibrous,Upright,Neutral,Greenish yellow,Thin,Medium
Amla,Lanceolate,Entire,Glossy,Whorled,Sharp,Tapered,Compound,Feather-veined,Short,Convex,Woody,Ascending,Mild,Bright green,Thin,Medium
Amla,Lanceolate,Entire,Smooth,Whorled,Sharp,Cuneate,Compound,Feather-veined,,Flattened,Woody,Upright,Earthy,Greenish yellow,Medium,Medium
Amla,Linear,Entire,Smooth,Alternate,Pointed,Uneven,Compound,Reticulate,Present,Flat,Lignified,Upright,Mild,Green,Thin,Small
Amla,Linear,Entire,Glossy,Alternate,Sharp,Cuneate,Compound,Reticulate,Present,Convex,Stiff,Erect,Mild,Green,Medium,Medium
Amla,Linear,Entire,Smooth,Alternate,Obtuse,Cuneate,Compound,Pinnate,,Flat,Stiff,Vertical,Earthy,Green,Thin,Medium
Amla,Linear,Entire,Smooth,Alternate,Acute,Tapered,Compound,Pinnate,Short,Flattened,Lignified,Erect,Earthy,Light green,Thin,Medium
Amla,Linear,Entire,Smooth,Alternate,Pointed,Oblique,Compound,Reticulate,,Flat,Lignified,Upright,Neutral,Green,Thin,Medium
Amla,Oblong,Entire,Smooth,Alternate,Acute,Asymmetric,Compound,Pinnate,Present,Flat,Woody,Upright,Earthy,Green,Thin,Small
Amla,Oblong,Entire,Smooth,Opposite,Obtuse,Uneven,Compound,Reticulate,Short,Flat,Lignified,Erect,Neutral,Green,Thin,Small
Amla,Linear,Entire,Smooth,Opposite,Sharp,Oblique,Compound,Reticulate,,Flat,Stiff,Vertical,Earthy,Bright green,Medium,Small
Amla,Linear,Entire,Smooth,Opposite,Acute,Oblique,Compound,Pinnate,Short,Flattened,Fibrous,Upright,Mild,Light green,Thin,Small
Amla,Lanceolate,Entire,Smooth,Opposite,Sharp,Oblique,Compound,Pinnate,Short,Flat,Lignified,Upright,Earthy,Green,Thin,Medium
Amla,Linear,Entire,Glossy,Alternate,Pointed,Asymmetric,Compound,Reticulate,Present,Flat,Lignified,Ascending,Mild,Greenish yellow,Thin,Medium
Amla,Linear,Entire,Smooth,Whorled,Acute,Uneven,Compound,Pinnate,Short,Flat,Lignified,Ascending,Neutral,Green,Thin,Medium
Amla,Oblong,Entire,Smooth,Alternate,Pointed,Asymmetric,Compound,Reticulate,Present,Flat,Lignified,Erect,Neutral,Green,Thin,Medium
Amla,Linear,Entire,Waxy,Alternate,Sharp,Oblique,Compound,Pinnate,Short,Flat,Lignified,Vertical,Neutral,Green,Thin,Medium
Amruthaballi,Maple-like,Serrated,Velvety,Alternate,Acuminate,Oblique,Simple,Net-veined,Moderate,Flat,Juicy,Climber,Aromatic,Light green,Thin,Large
Amruthaballi,Palmatifid,Lobed,Velvety,Whorled,Acute,Oblique,Simple,Net-veined,Moderate,Flattened,Mucilaginous,Trailing,Aromatic,Green,Thin,Medium
Amruthaballi,Maple-like,Toothed,Pubescent,Alternate,Blunt,Cordate,Simple,Reticulate,Present,Flat,Fibrous,Ascending,Strong,Moss green,Medium,Large
Amruthaballi,3-lobed,Serrated,Pubescent,Alternate,Acute,Heart-shaped,Simple,Reticulate,Present,Concave,Juicy,Climbing,Bitter,Light green,Thin,Medium
Amruthaballi,Lobed,Irregular,Rough,Alternate,Acute,Cordate,Simple,Reticulate,Present,Flat,Mucilaginous,Spreading,Bitter,Moss green,Thin,Medium
Amruthaballi,Lobed,Serrated,Rough,Alternate,Acute,Cordate,Simple,Net-veined,Present,Flat,Fibrous,Climber,Aromatic,Moss green,Medium,Large
Amruthaballi,Deeply lobed,Irregular,Pubescent,Alternate,Acute,Cordate,Simple,Reticulate,Present,Flattened,Gel-rich,Ascending,Strong,Moss green,Medium,Medium
Amruthaballi,Deeply lobed,Toothed,Rough,Whorled,Acute,Cordate,Simple,Net-veined,Present,Flat,Mucilaginous,Climber,Earthy,Moss green,Thin,Medium
Amruthaballi,Maple-like,Wavy,Velvety,Alternate,Blunt,Cordate,Simple,Net-veined,Moderate,Flat,Juicy,Climbing,Aromatic,Green,Thin,Medium
Amruthaballi,3-lobed,Serrated,Rough,Whorled,Acute,Cordate,Simple,Reticulate,Long,Flat,Gel-rich,Ascending,Earthy,Light green,Thin,Medium
Amruthaballi,Deeply lobed,Irregular,Velvety,Alternate,Acuminate,Oblique,Simple,Net-veined,Present,Flat,Mucilaginous,Climber,Bitter,Green,Thin,Medium
Amruthaballi,Palmatifid,Lobed,Rough,Alternate,Acute,Cordate,Simple,Reticulate,Long,Flat,Spongy,Climbing,Bitter,Green,Thin,Medium
Amruthaballi,Lobed,Irregular,Pubescent,Alternate,Acute,Cordate,Simple,Reticulate,Moderate,Flat,Fibrous,Climbing,Bitter,Dark green,Thin,Medium
Amruthaballi,Deeply lobed,Wavy,Velvety,Alternate,Acute,Heart-shaped,Simple,Reticulate,Present,Flat,Mucilaginous,Climbing,Earthy,Green,Thin,Large
Amruthaballi,Lobed,Lobed,Rough,Whorled,Acute,Cordate,Simple,Net-veined,Present,Flattened,Mucilaginous,Climbing,Bitter,Dark green,Thin,Large
Amruthaballi,3-lobed,Serrated,Hairy,Alternate,Acuminate,Cordate,Simple,Net-veined,Moderate,Concave,Mucilaginous,Ascending,Earthy,Moss green,Thin,Medium
Amruthaballi,Palmatifid,Lobed,Rough,Alternate,Pointed,Oblique,Simple,Reticulate,Long,Flat,Spongy,Trailing,Bitter,Dark green,Thin,Medium
Amruthaballi,Palmatifid,Wavy,Pubescent,Alternate,Acute,Heart-shaped,Simple,Reticulate,Long,Flattened,Gel-rich,Trailing,Earthy,Green,Thin,Large
Amruthaballi,Lobed,Wavy,Rough,Whorled,Blunt,Cordate,Simple,Reticulate,Present,Flat,Fibrous,Spreading,Bitter,Green,Thin,Medium
Amruthaballi,3-lobed,Toothed,Hairy,Alternate,Pointed,Heart-shaped,Simple,Reticulate,Present,Concave,Mucilaginous,Trailing,Earthy,Dark green,Thin,Medium
Arali,Ovate,Entire,Glossy,Alternate,Pointed,Cordate,Compound,Palmate,Long,Concave,Woody,Erect,Woody,Dark green,Medium,Large
Arali,Palmate,Wavy,Leathery,Whorled,Acuminate,Uneven,Compound,Net-veined,Moderate,Flat,Stiff,Upright,Fragrant,Green,Thick,Large
Arali,Elliptical,Lobed,Smooth,Alternate,Sharp,Cuneate,Simple,Net-veined,Present,Flattened,Woody,Erect,Fragrant,Shiny green,Medium,Large
Arali,Ovate,Entire,Leathery,Whorled,Pointed,Cuneate,Simple,Palmate,Present,Flat,Fibrous,Spreading,Fragrant,Dark green,Medium,Large
Arali,Ovate,Serrated,Glossy,Alternate,Acute,Cuneate,Compound,Palmate,Moderate,Flattened,Fibrous,Upright,Mild,Dark green,Thick,Large
Arali,Palmate,Serrated,Leathery,Alternate,Acuminate,Uneven,Compound,Palmate,Long,Flat,Fibrous,Upright,Fragrant,Dark green,Thick,Large
Arali,Ovate,Lobed,Shiny,Alternate,Sharp,Cordate,Compound,Palmate,Present,Concave,Fibrous,Spreading,Woody,Dark green,Medium,Large
Arali,Ovate,Serrated,Shiny,Alternate,Acuminate,Uneven,Compound,Net-veined,Present,Flattened,Fibrous,Upright,Mild,Dark green,Medium,Large
Arali,Ovate,Entire,Glossy,Spiral,Acute,Cuneate,Compound,Palmate,Long,Convex,Fibrous,Upright,Mild,Dark green,Medium,Large
Arali,Palmate,Entire,Leathery,Spiral,Acute,Wedge,Simple,Net-veined,Long,Convex,Woody,Spreading,Mild,Green,Medium,Large
Arali,Palmate,Lobed,Shiny,Spiral,Acuminate,Cordate,Compound,Palmate,Present,Flat,Fibrous,Upright,Fragrant,Green,Thick,Large
Arali,Ovate,Serrated,Shiny,Spiral,Pointed,Cuneate,Simple,Palmate,Long,Flat,Woody,Upright,Mild,Dark green,Medium,Large
Arali,Palmate,Lobed,Glossy,Alternate,Acuminate,Wedge,Compound,Reticulate,Present,Concave,Fibrous,Erect,Mild,Dark green,Medium,Large
Arali,Palmate,Serrated,Glossy,Opposite,Acute,Truncate,Compound,Palmate,Long,Flat,Woody,Erect,Mild,Green,Medium,Large
Arali,Ovate,Entire,Glossy,Alternate,Sharp,Cuneate,Compound,Palmate,Long,Convex,Woody,Erect,Mild,Shiny green,Medium,Large
Arali,Ovate,Wavy,Smooth,Alternate,Acute,Truncate,Compound,Net-veined,Present,Flat,Stiff,Upright,Mild,Green,Thick,Large
Arali,Elliptical,Wavy,Leathery,Alternate,Acute,Cordate,Compound,Net-veined,Long,Flat,Fibrous,Spreading,Woody,Shiny green,Medium,Large
Arali,Elliptical,Lobed,Smooth,Spiral,Sharp,Uneven,Compound,Palmate,Moderate,Concave,Woody,Erect,Woody,Shiny green,Medium,Large
Arali,Elliptical,Wavy,Glossy,Whorled,Acuminate,Cuneate,Compound,Palmate,Moderate,Flat,Woody,Erect,Mild,Green,Thick,Large
Arali,Elliptical,Serrated,Smooth,Alternate,Pointed,Wedge,Simple,Reticulate,Present,Flattened,Woody,Erect,Neutral,Shiny green,Thick,Large
Arive Dantu,Ovate,Serrated,Hairy,Alternate,Acute,Truncate,Simple,Net-veined,Moderate,Flattened,Fibrous,Spreading,Neutral,Green,Medium,Large
Arive Dantu,Elliptic,Entire,Smooth,Alternate,Pointed,Cuneate,Simple,Reticulate,Present,Flat,Juicy,Upright,Earthy,Dark green,Medium,Medium
Arive Dantu,Oblong,Wavy,Pubescent,Whorled,Acuminate,Truncate,Simple,Net-veined,Present,Flat,Mucilaginous,Spreading,Aromatic,Moss green,Medium,Medium
Arive Dantu,Ovate,Wavy,Glossy,Whorled,Acuminate,Truncate,Simple,Reticulate,Short,Flat,Fibrous,Spreading,Neutral,Greenish,Thin,Medium
Arive Dantu,Oblong,Entire,Hairy,Alternate,Acuminate,Tapered,Simple,Reticulate,Present,Flat,Mucilaginous,Erect,Earthy,Greenish,Medium,Medium
Arive Dantu,Ovate,Crenate,Pubescent,Alternate,Blunt,Cordate,Simple,Reticulate,Present,Flat,Fibrous,Upright,Aromatic,Bright green,Medium,Medium
Arive Dantu,Ovate,Crenate,Pubescent,Alternate,Blunt,Tapered,Simple,Reticulate,Present,Flat,Mucilaginous,Vertical,Strong,Bright green,Thin,Medium
Arive Dantu,Oblong,Crenate,Smooth,Alternate,Acute,Uneven,Simple,Reticulate,Moderate,Flattened,Mucilaginous,Upright,Neutral,Greenish,Thin,Medium
Arive Dantu,Lanceolate,Wavy,Glossy,Alternate,Acuminate,Truncate,Simple,Reticulate,Present,Concave,Mucilaginous,Erect,Earthy,Green,Thin,Large
Arive Dantu,Lanceolate,Wavy,Smooth,Alternate,Acuminate,Truncate,Simple,Net-veined,Present,Flattened,Juicy,Spreading,Neutral,Greenish,Medium,Large
Arive Dantu,Oblong,Serrated,Smooth,Alternate,Pointed,Cuneate,Simple,Reticulate,Present,Flat,Watery,Spreading,Mild,Greenish,Medium,Medium
Arive Dantu,Ovate,Entire,Pubescent,Alternate,Blunt,Tapered,Simple,Reticulate,Moderate,Flat,Fibrous,Erect,Strong,Green,Thin,Medium
Arive Dantu,Ovate,Crenate,Pubescent,Whorled,Pointed,Truncate,Simple,Reticulate,Present,Flat,Watery,Vertical,Aromatic,Green,Thin,Large
Arive Dantu,Oblong,Wavy,Smooth,Whorled,Pointed,Cordate,Simple,Reticulate,Short,Flat,Watery,Upright,Mild,Moss green,Thin,Medium
Arive Dantu,Oblong,Entire,Glossy,Alternate,Pointed,Cuneate,Simple,Reticulate,Moderate,Flat,Watery,Upright,Earthy,Green,Thin,Medium
Arive Dantu,Oblong,Wavy,Glossy,Whorled,Acuminate,Tapered,Simple,Reticulate,Present,Flattened,Mucilaginous,Spreading,Neutral,Bright green,Medium,Medium
Arive Dantu,Elliptic,Entire,Pubescent,Alternate,Pointed,Cuneate,Simple,Reticulate,Present,Flat,Watery,Upright,Strong,Greenish,Thin,Medium
Arive Dantu,Lanceolate,Entire,Glossy,Alternate,Acuminate,Uneven,Simple,Reticulate,Present,Concave,Fibrous,Erect,Aromatic,Greenish,Medium,Medium
Arive Dantu,Elliptic,Entire,Hairy,Alternate,Acuminate,Tapered,Simple,Reticulate,Short,Concave,Fibrous,Spreading,Earthy,Green,Thin,Medium
Arive Dantu,Ovate,Wavy,Pubescent,Alternate,Pointed,Tapered,Simple,Net-veined,Short,Flat,Fibrous,Upright,Earthy,Moss green,Thin,Medium
Aromatic ginger,Linear,Entire,Glossy,Alternate,Acute,Cuneate,Simple,Parallel,Present,Flat,Juicy,Upright,Strong,Green,Thick,Large
Aromatic ginger,Linear,Entire,Waxy,Basal,Acuminate,Cuneate,Simple,Parallel,Present,Flat,Fibrous,Erect,Spicy,Greenish yellow,Medium,Medium
Aromatic ginger,Lanceolate,Entire,Glossy,Alternate,Acute,Cuneate,Simple,Parallel,Short,Flattened,Starchy,Upright,Strong,Green,Thick,Medium
Aromatic ginger,Linear,Entire,Glossy,Whorled,Acute,Uneven,Simple,Parallel,Short,Flat,Starchy,Upright,Pungent,Yellow green,Thick,Medium
Aromatic ginger,Lance-shaped,Entire,Smooth,Whorled,Pointed,Cordate,Simple,Parallel,Short,Flat,Mucilaginous,Upright,Pungent,Yellow green,Thick,Medium
Aromatic ginger,Oblong,Entire,Smooth,Alternate,Pointed,Tapered,Simple,Parallel,Short,Flat,Juicy,Erect,Aromatic,Light green,Thick,Medium
Aromatic ginger,Oblong,Entire,Silky,Spiral,Pointed,Tapered,Simple,Parallel,Short,Flat,Juicy,Ascending,Aromatic,Light green,Thick,Large
Aromatic ginger,Lance-shaped,Entire,Glossy,Basal,Acute,Cordate,Simple,Parallel,Present,Flattened,Starchy,Vertical,Pungent,Yellow green,Thick,Large
Aromatic ginger,Lance-shaped,Entire,Waxy,Alternate,Pointed,Cordate,Simple,Parallel,Present,Flat,Juicy,Ascending,Spicy,Yellow green,Thick,Medium
Aromatic ginger,Linear,Entire,Glossy,Spiral,Pointed,Tapered,Simple,Parallel,Short,Flat,Starchy,Upright,Strong,Green,Thick,Medium
Aromatic ginger,Lance-shaped,Entire,Waxy,Alternate,Pointed,Cuneate,Simple,Parallel,Short,Flattened,Starchy,Vertical,Pungent,Green,Medium,Medium
Aromatic ginger,Lanceolate,Entire,Silky,Alternate,Acute,Uneven,Simple,Parallel,Present,Flat,Starchy,Upright,Strong,Light green,Thick,Medium
Aromatic ginger,Oblong,Entire,Silky,Whorled,Acute,Cuneate,Simple,Parallel,Short,Flat,Starchy,Erect,Strong,Greenish yellow,Medium,Medium
Aromatic ginger,Oblong,Entire,Glossy,Spiral,Acuminate,Cordate,Simple,Parallel,Short,Flattened,Starchy,Ascending,Strong,Greenish yellow,Medium,Medium
Aromatic ginger,Linear,Entire,Glossy,Basal,Pointed,Cordate,Simple,Parallel,Short,Flat,Starchy,Ascending,Spicy,Light green,Thick,Large
Aromatic ginger,Oblong,Entire,Glossy,Spiral,Acuminate,Cuneate,Simple,Parallel,Short,Flat,Juicy,Ascending,Aromatic,Green,Thick,Medium
Aromatic ginger,Lance-shaped,Entire,Glossy,Spiral,Pointed,Cuneate,Simple,Parallel,Present,Flattened,Mucilaginous,Ascending,Strong,Green,Thick,Medium
Aromatic ginger,Lance-shaped,Entire,Glossy,Alternate,Pointed,Cuneate,Simple,Parallel,Present,Flat,Mucilaginous,Vertical,Aromatic,Light green,Thick,Large
Aromatic ginger,Lanceolate,Entire,Glossy,Whorled,Pointed,Tapered,Simple,Parallel,Present,Flat,Starchy,Vertical,Pungent,Greenish yellow,Thick,Large
Aromatic ginger,Oblong,Entire,Glossy,Alternate,Acute,Uneven,Simple,Parallel,Present,Flat,Starchy,Vertical,Strong,Green,Thick,Large
Ashoka,Lanceolate,Entire,Silky,Spiral,Acuminate,Wedge,Compound,Pinnate,Present,Concave,Woody,Spreading,Earthy,Green,Medium,Medium
Ashoka,Lanceolate,Entire,Waxy,Spiral,Sharp,Cuneate,Compound,Pinnate,Present,Flat,Woody,Erect,Mild,Light green,Thick,Large
Ashoka,Oblong,Wavy,Smooth,Alternate,Sharp,Wedge,Compound,Pinnate,Long,Flat,Fibrous,Vertical,Earthy,Green,Medium,Large
Ashoka,Linear,Serrated,Waxy,Opposite,Acuminate,Cordate,Compound,Net-veined,Moderate,Flat,Fibrous,Upright,Aromatic,Green,Medium,Large
Ashoka,Oblong,Entire,Smooth,Spiral,Acute,Cuneate,Compound,Pinnate,Long,Flat,Fibrous,Spreading,Mild,Shiny green,Thick,Large
Ashoka,Lanceolate,Wavy,Smooth,Whorled,Acute,Truncate,Compound,Pinnate,Present,Flat,Woody,Spreading,Earthy,Light green,Medium,Large
Ashoka,Ovate,Serrated,Waxy,Alternate,Acute,Wedge,Compound,Feather-veined,Long,Concave,Woody,Spreading,Mild,Dark green,Medium,Large
Ashoka,Oblong,Serrated,Silky,Opposite,Pointed,Wedge,Compound,Net-veined,Moderate,Concave,Fibrous,Upright,Earthy,Light green,Thin,Large
Ashoka,Ovate,Serrated,Smooth,Spiral,Acute,Cuneate,Compound,Feather-veined,Present,Flat,Fibrous,Erect,Mild,Bright green,Medium,Large
Ashoka,Linear,Serrated,Silky,Opposite,Sharp,Cuneate,Compound,Net-veined,Long,Flat,Stiff,Erect,Aromatic,Shiny green,Thin,Large
Ashoka,Oblong,Wavy,Waxy,Alternate,Pointed,Truncate,Compound,Feather-veined,Present,Concave,Fibrous,Upright,Neutral,Green,Medium,Large
Ashoka,Ovate,Entire,Smooth,Opposite,Acute,Cuneate,Compound,Pinnate,Long,Concave,Woody,Vertical,Earthy,Dark green,Medium,Large
Ashoka,Lanceolate,Entire,Waxy,Alternate,Sharp,Cordate,Compound,Pinnate,Long,Flat,Woody,Spreading,Mild,Shiny green,Thick,Large
Ashoka,Linear,Entire,Glossy,Whorled,Acute,Truncate,Compound,Pinnate,Present,Flat,Stiff,Vertical,Aromatic,Green,Medium,Medium
Ashoka,Lanceolate,Serrated,Smooth,Alternate,Pointed,Truncate,Compound,Pinnate,Present,Flat,Woody,Erect,Neutral,Light green,Medium,Large
Ashoka,Lanceolate,Wavy,Smooth,Alternate,Acuminate,Cuneate,Compound,Pinnate,Long,Flat,Woody,Erect,Neutral,Dark green,Medium,Large
Ashoka,Ovate,Wavy,Smooth,Spiral,Sharp,Truncate,Compound,Net-veined,Moderate,Flat,Fibrous,Erect,Mild,Shiny green,Medium,Large
Ashoka,Linear,Serrated,Silky,Alternate,Sharp,Cuneate,Compound,Pinnate,Present,Concave,Woody,Vertical,Neutral,Dark green,Medium,Large
Ashoka,Ovate,Serrated,Smooth,Spiral,Acute,Cuneate,Compound,Pinnate,Long,Concave,Fibrous,Vertical,Aromatic,Light green,Thin,Large
Ashoka,Ovate,Wavy,Glossy,Opposite,Acute,Cuneate,Compound,Net-veined,Moderate,Flat,Stiff,Vertical,Neutral,Dark green,Medium,Medium
Asian pigeon wings,Oblong,Wavy,Pubescent,Alternate,Pointed,Uneven,Compound,Reticulate,Moderate,Flat,Fibrous,Erect,Earthy,Moss green,Thin,Medium
Asian pigeon wings,Lanceolate,Serrated,Silky,Alternate,Sharp,Tapered,Compound,Feather-veined,Present,Flat,Fibrous,Spreading,Mild,Greenish,Thin,Medium
Asian pigeon wings,Lanceolate,Entire,Smooth,Alternate,Blunt,Cordate,Compound,Reticulate,Present,Flat,Fibrous,Climbing,Mild,Greenish,Thin,Medium
Asian pigeon wings,Elliptical,Entire,Glossy,Alternate,Sharp,Cuneate,Compound,Reticulate,Short,Flat,Stiff,Climber,Earthy,Light green,Thin,Medium
Asian pigeon wings,Oblong,Entire,Smooth,Whorled,Sharp,Cuneate,Compound,Pinnate,Moderate,Flat,Woody,Climber,Neutral,Green,Medium,Medium
Asian pigeon wings,Oblong,Entire,Pubescent,Alternate,Sharp,Cordate,Compound,Net-veined,Present,Flat,Fibrous,Erect,Mild,Light green,Medium,Medium
Asian pigeon wings,Elliptical,Entire,Glossy,Alternate,Acute,Wedge,Compound,Net-veined,Moderate,Flattened,Stiff,Trailing,Fragrant,Green,Thin,Medium
Asian pigeon wings,Oblong,Entire,Hairy,Alternate,Sharp,Cuneate,Compound,Net-veined,Present,Flat,Fibrous,Spreading,Mild,Dark green,Medium,Medium
Asian pigeon wings,Ovate,Serrated,Silky,Alternate,Acute,Uneven,Compound,Net-veined,Present,Flat,Fibrous,Erect,Earthy,Light green,Thin,Medium
Asian pigeon wings,Elliptical,Wavy,Pubescent,Alternate,Pointed,Uneven,Compound,Reticulate,Present,Flat,Woody,Erect,Mild,Light green,Thin,Medium
